followers,n
44572511,18
44580084,133
44587487,10
44616154,22
44641604,27
44729475,16
44757086,19
44778238,14
44851889,10
44976783,10
44991022,63
45094152,61
45128423,14
45139249,24
45177218,44
45193099,12
45207636,18
45245562,17
45260257,10
45286498,20
45298480,12
45311547,10
45372371,51
45377863,12
45382084,12
45386126,12
45387367,42
45390950,106
45406837,167
45417664,18
45441014,10
45515193,67
45522548,24
45529087,17
45530424,27
45531406,11
45534623,12
45569288,16
45576894,40
45585610,16
45630789,17
45702057,245
45765934,11
45805456,44
45805716,11
45816769,45
45832480,10
45832761,18
45835227,25
45842929,11
45850877,13
45855390,297
45890496,18
45958834,17
46070951,97
46095058,30
46106389,10
46108769,15
46116824,43
46122983,10
46129687,14
46138730,53
46215561,15
46218578,17
46227121,26
46233360,37
46241964,43
46328857,28
46331883,17
46342536,18
46348992,11
46364653,44
46374013,17
46379769,41
46399669,48
46408073,22
46430759,42
46447982,24
46461647,16
46471148,25
46472775,33
46594628,14
46614859,56
46622228,10
46623157,26
46641505,36
46643901,23
46645914,14
46648863,154
46675427,10
46749713,21
46967168,169
46971670,12
47038772,24
47060902,27
47091549,24
47105669,13
47106747,11
47122193,10
47147444,25
47156231,32
47164683,10
47188457,31
47262454,35
47266417,21
47286531,17
47288725,63
47289597,19
47290733,13
47294516,23
47297936,78
47303840,22
47307434,22
47324394,12
47325413,11
47336507,75
47336512,78
47350607,20
47362256,14
47391261,15
47409173,89
47409665,21
47423889,13
47427295,10
47431779,36
47436803,14
47437779,34
47443901,18
47459318,12
47535510,20
47563229,32
47567794,47
47573482,59
47575615,11
47578275,43
47581448,15
47584166,20
47584189,21
47586786,60
47587734,18
47594372,90
47613057,10
47616950,13
47618906,21
47627283,13
47634108,10
47634874,13
47644717,15
47656959,13
47665035,16
47696241,23
47705460,100
47736048,57
47760643,15
47799801,16
47870509,11
47873555,10
47877071,48
47890501,15
47891262,26
47891298,16
47893499,22
47902649,19
47906221,13
47911556,21
47911889,17
47913182,17
47915618,34
47917548,21
47919634,52
47920586,17
47922815,10
47924176,23
47925008,39
47927144,21
47928970,12
47936706,44
47938576,41
47941397,14
47943390,11
47944688,11
47947690,50
47948523,22
47952091,13
47954293,44
47958936,16
47962074,54
47966187,15
47975797,24
47976641,42
47983504,12
47995244,10
48000954,16
48001763,19
48016251,15
48026525,87
48056456,21
48063579,53
48066121,18
48068281,112
48096022,11
48206996,10
48254536,10
48283739,49
48286879,17
48287850,31
48293848,14
48299405,18
48306902,11
48323115,18
48333598,30
48355921,63
48367369,19
48374856,13
48385702,19
48389381,10
48395401,29
48404973,293
48414002,12
48448595,11
48468613,11
48482335,14
48487736,18
48503322,17
48534115,12
48565835,12
48604875,14
48640206,15
48646983,34
48651219,13
48653726,13
48656173,51
48662535,19
48670047,10
48678482,11
48682859,19
48684745,27
48696908,27
48698306,23
48698756,22
48699204,30
48702651,16
48711311,11
48720548,10
48725642,29
48728734,30
48731776,16
48738042,21
48756280,12
48774528,32
48775769,13
48791308,54
48805140,95
48831526,22
48837337,10
48844402,11
48844595,10
48900689,23
48934536,190
48944003,11
48965639,10
48967363,22
48982616,21
48984094,34
48989693,37
49002170,17
49007673,13
49015159,19
49018753,68
49032862,10
49056561,126
49058003,14
49060728,21
49062461,34
49066610,16
49069090,16
49072409,12
49082068,20
49090850,11
49106285,13
49113656,13
49129385,57
49132647,55
49135558,10
49155241,12
49162480,13
49165814,13
49168597,19
49251366,18
49258294,13
49274303,20
49279343,36
49286215,16
49294299,22
49295699,23
49296881,96
49300446,21
49301725,15
49317508,23
49319808,11
49322493,12
49336558,62
49378559,10
49393386,42
49414316,49
49422491,54
49435592,11
49448861,27
49450335,12
49457665,52
49461409,17
49463836,11
49484227,11
49567166,43
49572149,27
49574920,12
49578312,11
49583813,22
49593339,25
49598913,14
49599756,12
49620530,42
49627758,25
49637370,19
49643178,107
49645684,17
49678509,56
49703669,32
49706667,10
49710073,20
49722817,150
49747557,10
49773729,24
49794673,12
49869663,17
49911777,13
49915917,30
49918015,11
49923073,19
49931955,48
49934877,15
49936499,19
49947595,23
49956405,136
49958634,20
49959199,10
49972820,11
49998576,14
50004219,18
50020296,75
50025023,27
50084744,11
50089075,12
50093472,14
50104859,99
50110773,24
50136551,16
50167394,120
50244174,36
50255946,52
50268198,15
50284566,16
50284613,10
50289570,25
50323518,36
50331611,20
50344084,12
50346335,14
50374228,14
50390022,18
50405065,15
50408624,15
50420557,17
50431226,22
50458265,81
50574072,10
50592878,10
50596194,20
50598185,139
50603599,10
50611747,11
50611768,13
50647025,98
50657397,127
50672587,18
50678714,18
50689910,27
50695875,19
50709869,18
50726918,13
50735679,10
50774450,11
50789542,67
50795912,18
50815126,25
50819397,22
50830746,36
50833645,12
50839976,255
50919686,12
50929504,15
50929918,35
50932948,29
50936386,12
50938621,28
50946584,12
50947065,13
50948540,61
50960460,16
50960967,22
50962910,14
50971887,49
50973860,37
50974310,31
50974347,30
50974967,13
50977772,39
50978544,10
50980855,16
50980990,14
50982391,21
50986803,86
50989123,32
50989653,18
50990466,21
50993242,11
50999842,18
51006982,12
51009992,17
51014547,10
51014601,16
51021358,21
51022904,15
51025194,26
51026999,13
51046899,39
51054259,63
51054797,43
51068665,39
51070643,27
51071858,35
51086947,18
51091665,14
51093086,11
51095169,13
51101290,16
51101895,18
51110536,123
51142024,39
51147664,24
51153598,14
51170340,119
51178514,17
51194166,20
51199409,12
51216732,13
51218928,46
51222813,13
51245932,16
51250393,12
51294769,10
51339886,15
51380171,11
51385366,20
51403867,17
51417772,10
51420735,15
51439290,10
51453098,69
51462169,31
51492825,21
51494803,13
51500153,81
51524529,36
51534469,43
51583466,12
51607901,43
51691594,30
51693666,18
51693669,14
51701643,13
51743095,21
51833907,92
51875963,12
51993683,75
51998077,12
52009261,12
52028202,10
52030309,12
52043751,16
52045573,10
52071877,11
52080047,10
52080099,10
52142794,13
52146122,73
52159137,10
52169042,13
52182861,63
52195169,22
52201034,33
52333987,10
52337402,24
52341018,11
52348806,19
52368194,39
52382005,39
52391532,11
52421188,11
52425480,10
52451311,25
52484440,12
52489349,91
52645697,17
52656052,32
52664714,20
52672572,16
52675217,11
52681259,16
52686203,36
52686210,21
52689147,19
52767235,32
52772800,10
52788093,23
52798668,25
52802723,14
52806098,21
52813440,22
52844577,13
52849196,37
52850788,15
52887291,66
52977161,13
52994553,17
53008282,11
53015962,20
53030642,364
53040578,17
53043684,19
53054208,37
53056937,135
53099200,23
53131968,10
53134072,18
53171694,12
53231591,115
53339900,26
53347066,13
53387105,42
53405405,26
53409815,43
53428531,17
53476971,10
53478239,10
53616422,19
53637169,10
53647595,11
53648139,10
53650609,23
53669299,25
53704915,45
53720434,43
53730590,56
53741778,11
53762616,10
53782446,25
53847304,15
53874678,11
53897415,31
53902460,14
53917308,29
53944629,11
53950342,10
53955450,10
53960951,16
53962369,19
54007628,11
54029351,14
54142231,10
54143359,11
54152359,14
54166207,12
54170958,17
54193070,17
54221331,16
54236846,14
54262687,81
54263886,14
54337420,19
54396255,16
54475249,12
54475443,50
54478170,21
54491664,49
54499168,21
54499915,139
54501709,27
54516434,30
54538659,55
54539861,11
54542952,14
54554747,28
54594099,27
54622157,10
54630415,13
54675017,15
54684983,13
54693014,50
54798507,25
54841929,14
54852135,12
54885322,13
54886635,36
54905956,12
54912153,10
54918075,51
54946302,21
54948882,33
54963163,40
54986831,19
55005944,30
55029987,12
55158772,23
55189391,20
55193168,29
55200173,15
55211820,18
55223975,14
55245881,11
55259018,11
55275735,10
55282026,22
55362826,18
55363047,37
55365131,33
55478846,31
55492477,58
55500880,12
55504410,34
55506147,96
55508445,88
55509228,11
55513684,10
55519360,11
55525538,219
55531199,26
55547275,10
55619315,41
55623360,16
55631230,11
55631232,11
55674945,10
55739607,23
55788623,10
55794880,22
55797525,17
55797568,27
55798277,20
55799448,14
55810549,18
55812177,16
55820753,17
55821199,186
55824059,64
55878041,13
55881372,33
55909049,14
55921300,14
55985626,35
55994775,14
56048967,18
56050228,34
56059444,87
56066467,30
56068691,12
56107736,81
56118556,10
56122225,10
56145204,16
56148496,15
56153909,27
56168422,10
56174262,27
56181484,50
56204478,20
56310717,12
56319067,16
56335772,18
56340661,80
56407833,50
56717471,16
56739392,23
56745657,14
56749077,35
56759291,31
56835428,11
56837610,28
56894209,10
56940721,25
56969648,39
57009179,18
57028226,23
57085530,14
57095799,29
57108444,15
57116930,39
57136202,12
57252919,27
57258449,13
57281645,16
57297909,32
57303964,18
57307683,19
57317490,13
57318944,25
57318953,20
57318977,15
57331781,27
57339683,18
57367921,10
57370225,11
57370886,13
57378516,16
57429706,25
57437350,15
57453197,16
57455028,11
57457309,47
57458760,11
57523626,10
57583313,11
57608279,27
57627100,26
57637771,31
57654927,17
57660402,17
57676163,11
57678033,21
57691450,128
57713309,23
57721101,37
57739775,11
57770111,33
