name,id,twitter,groupe_sigle
Caroline Abadie,43,AbadieCaroline,LREM
Bérangère Abba,15,b_abba,LREM
Jean-Félix Acquaviva,493,JF_Acquaviva,LT
Damien Adam,234,damienadam76,LREM
Lénaïck Adam,152,LenaickADAM,LREM
Saïd Ahamada,135,saidahamada,LREM
Éric Alauzet,508,ericalauzet,LREM
Ramlati Ali,183,RamlatiAli,LREM
Louis Aliot,413,louis_aliot,NI
Aude Amadou,499,AudeAmadou,LREM
Patrice Anato,382,patrice_anato,LREM
François André,351,FrancoisAndre35,LREM
Pieyre-Alexandre Anglade,441,PA_Anglade,LREM
Emmanuelle Anthoine,11,eanthoine26,LR
Jean-Philippe Ardouin,564,jean_ardouin,LREM
Christophe Arend,220,christophearend,LREM
Stéphanie Atger,604,StephanieAtger,LREM
Gabriel Attal,310,GabrielAttal,LREM
Julien Aubert,332,JulienAubert84,LR
Sophie Auconie,406,sophie_auconie,UDI
Edith Audibert,628,AudibertEdith,LR
Clémentine Autain,404,Clem_Autain,LFI
Laetitia Avia,461,LaetitiaAvia,LREM
Joël Aviragnet,52,JAviragnet,SOC
Bruno Nestor Azerot,405,BNAzerot,GDR
Florian Bachelier,121,F_BACHELIER,LREM
Delphine Bagarry,59,DBagarry,NI
Didier Baichère,488,dbaichere,LREM
Erwan Balanant,323,erwanbalanant,MODEM
Françoise Ballet-Blu,634,fballetblu,LREM
Géraldine Bannier,41,Bannier_G,MODEM
Frédéric Barbier,358,Fred_Barbier,LREM
Ericka Bareigts,281,ebareigts,SOC
Jean-Noël Barrot,106,jnbarrot,MODEM
Nathalie Bassire,217,NathalieBassire,LR
Delphine Batho,500,delphinebatho,NI
Marie-Noëlle Battistel,209,BattistelMarie,SOC
Xavier Batut,496,XavierBatut,LREM
Stéphane Baudu,600,baudu_stephane,MODEM
Thibault Bazin,58,thibault_bazin,LR
Valérie Bazin-Malgras,218,vbazinmalgras,LR
Sophie Beaudouin-Hubiere,482,BeaudouinSo,LREM
Valérie Beauvais,65,beauvais2017,LR
Olivier Becht,298,becht_olivier,AE
Belkhir Belhaddad,151,b_belhaddad,LREM
Mounir Belhamiti,596,MounirBelhamiti,LREM
Huguette Bello,511,HuguetteBello,GDR
